customer_key;customer_number;customer_name;category;age;age_group;customer_segment;last_order_date;recency;total_orders;total_sales;total_quantity;total_products;lifespan;avg_order_value;avg_monthly_spend
2;AW00011001;Eugene Huang;Bikes;49;40-49;VIP;10.12.2013;141;3;6235;3;3;35;2078.333333333333;178.142857142857
3;AW00011002;Ruben Torres;Accessories;54;50 and above;New;23.02.2013;151;1;35;1;1;0;35.000000000000;35.000000000000
4;AW00011003;Christy Zhu;Clothing;52;50 and above;New;05.01.2013;152;1;9;1;1;0;9.000000000000;9.000000000000
5;AW00011004;Elizabeth Johnson;Accessories;46;40-49;New;01.05.2013;148;2;92;3;3;4;46.000000000000;23.000000000000
10;AW00011009;Shannon Carlson;Accessories;56;50 and above;New;09.05.2013;148;2;37;2;2;4;18.500000000000;9.250000000000
15;AW00011014;Sydney Bennett;Accessories;52;50 and above;New;30.04.2013;149;2;114;5;4;1;57.000000000000;114.000000000000
24;AW00011023;Seth Edwards;Accessories;41;40-49;New;14.01.2014;140;2;68;5;5;11;34.000000000000;6.181818181818
37;AW00011036;Jennifer Russell;Accessories;41;40-49;New;22.01.2013;152;1;35;1;1;0;35.000000000000;35.000000000000
40;AW00011039;Marc Martin;Bikes;71;50 and above;VIP;11.11.2013;142;3;6462;3;3;33;2154.000000000000;195.818181818181
40;AW00011039;Marc Martin;Clothing;71;50 and above;New;11.11.2013;142;2;18;2;1;2;9.000000000000;9.000000000000
42;AW00011041;Amanda Carter;Bikes;42;40-49;New;14.01.2013;152;1;2295;1;1;0;2295.000000000000;2295.000000000000
42;AW00011041;Amanda Carter;Clothing;42;40-49;New;14.01.2013;152;1;64;1;1;0;64.000000000000;64.000000000000
43;AW00011042;Megan Sanchez;Clothing;43;40-49;New;17.10.2013;143;1;50;1;1;0;50.000000000000;50.000000000000
44;AW00011043;Nathan Simmons;Accessories;44;40-49;New;18.08.2013;145;2;39;2;2;3;19.500000000000;13.000000000000
56;AW00011055;Gilbert Raje;Bikes;68;50 and above;VIP;07.06.2013;147;3;8079;3;3;29;2693.000000000000;278.586206896551
57;AW00011056;Michele Nath;Accessories;67;50 and above;New;31.05.2013;148;2;50;3;3;3;25.000000000000;16.666666666666
59;AW00011058;Marc Diaz;Accessories;60;50 and above;New;04.06.2013;147;2;90;2;2;5;45.000000000000;18.000000000000
59;AW00011058;Marc Diaz;Clothing;60;50 and above;New;04.06.2013;147;1;54;1;1;0;54.000000000000;54.000000000000
